1675630800.0, 36
1676235600.0, 1
1676494800.0, 17
1677531600.0, 2
1677618000.0, 22
1677704400.0, 35
1679432400.0, 26
1679605200.0, 36
1680037200.0, 3
1680642000.0, 25
1680728400.0, 4
1681160400.0, 14
1681246800.0, 31
1681333200.0, 17
1681765200.0, 17
1681851600.0, 24
1681938000.0, 5
1681938000.0, 6
1681938000.0, 7
1682370000.0, 8
1684357200.0, 36
1685566800.0, 1
1687813200.0, 36
1687986000.0, 9
1688590800.0, 10
1689109200.0, 11
1689195600.0, 12
1691614800.0, 13
1694034000.0, 36
1694466000.0, 34
1695070800.0, 35
1695157200.0, 14
1695243600.0, 15
1695762000.0, 16
1695848400.0, 17
1697576400.0, 18
1697576400.0, 19
1697662800.0, 20
1697749200.0, 36
1698094800.0, 21
1698181200.0, 22
1698267600.0, 23
1698699600.0, 24
1698786000.0, 25
1699390800.0, 26
1699477200.0, 27
1699995600.0, 28
1700082000.0, 29
1700082000.0, 30
1700600400.0, 31
1700686800.0, 32
1700686800.0, 33
1701032400.0, 34
1701291600.0, 35
1702328400.0, 36
